Lead Investigator Name,h_index,citations,papers
"Pleshet,Noah O",,,
"Hopkins,Maren P",3.0,48.0,21.0
"Bernstein,Harris",42.0,6594.0,98.0
"Brusseau,Mark L",73.0,17590.0,497.0
"Burd,Randy M",24.0,2288.0,53.0
"Cranmer,Lee Duncan",,,
"Dereniak,Eustace L",32.0,4918.0,304.0
"Djordjevic,Ivan B",3.0,16.0,13.0
"Sorooshian,Armin",4.0,49.0,17.0
"Fasel,Hermann F",2.0,13.0,10.0
"Galbraith,David W",60.0,16553.0,198.0
"Shaked,Moshe",41.0,7783.0,205.0
"Gervasio,Dominic F",14.0,1204.0,56.0
"Thakur,Dinesh S",17.0,1344.0,95.0
"Goodman,Nathan A",20.0,2375.0,104.0
"Futscher,Bernard W",50.0,7303.0,139.0
"Khitrova,Galina",36.0,7926.0,346.0
"Kobourov,Stephen G",45.0,8974.0,319.0
"Tyo,J Scott",16.0,698.0,30.0
"Lysecky,Roman L",21.0,2338.0,150.0
"Maier,Robert S",2.0,5.0,6.0
"Momayez,Moe",1.0,1.0,3.0
"Kundu,Tribikram",1.0,4.0,2.0
"Polynkin,Pavel G",27.0,3448.0,143.0
"Peyghambarian,Nasser N",17.0,2041.0,44.0
"Ramasubramanian,Srinivasa",,,
"Ridgdill,Penny C",,,
"Ritchie,Elizabeth A",25.0,3475.0,97.0
"Restifo,Linda L",27.0,3236.0,46.0
"Sandhu,Arvinder",24.0,1660.0,140.0
"Sanfelice,Ricardo G",35.0,6424.0,350.0
"Zarnescu,Daniela C",31.0,3921.0,67.0
"Villarreal,Miguel L",18.0,840.0,63.0
"Zhang,Lianyang",51.0,9222.0,208.0
"Zohar,Yitshak",32.0,2879.0,192.0
"Enikov,Eniko T",18.0,1151.0,116.0
"Pau,Stanley K H",21.0,1435.0,116.0
"Malusa,James R",10.0,228.0,30.0
"Krunz,Marwan M",56.0,11830.0,392.0
"Missoum,Samy",1.0,3.0,8.0
"Dettman,David L",45.0,7329.0,174.0
"Kolesik,Miroslav",0.0,0.0,2.0
"Hariri,Salim A",36.0,9014.0,367.0
"Chen,Hsinchun",94.0,39755.0,821.0
"Duan,Jennifer Guohong",,,
"Neifeld,Mark A",42.0,5838.0,333.0
"Fehmi,Jeffrey S",21.0,1045.0,71.0
"Castro,Christopher L",28.0,2979.0,110.0
"Cohen,Paul R",2.0,55.0,3.0
"Call,Robert E",4.0,65.0,24.0
"Schroeder,Joyce A",27.0,3427.0,66.0
"Dontsova,Katerina M",24.0,2333.0,87.0
"Sagarin,Raphael D",18.0,3190.0,48.0
"Woodard,Gary C",6.0,109.0,53.0
"Goode,Matthew J",16.0,777.0,37.0
"Hameroff,Stuart R",6.0,517.0,9.0
"Powers,Linda S",35.0,3896.0,81.0
"Peterson,Robert L",1.0,1.0,4.0
"Moloney,Jerome V",6.0,513.0,7.0
"Barton,Jennifer K",41.0,6854.0,271.0
"Field,James A",5.0,172.0,19.0
"Hutchinson,Charles F",21.0,1342.0,65.0
"Beal,Carole R",34.0,3105.0,128.0
"Debray,Saumya K",42.0,7213.0,170.0
"Heimark,Ronald L",30.0,4480.0,90.0
"Carothers,Daniel N",14.0,1032.0,38.0
"Meystre,Pierre",0.0,0.0,5.0
"Jessup,Leonard Michael",21.0,4631.0,59.0
"Algotar,Amit M",11.0,450.0,44.0
"Romagnolo,Donato",31.0,2911.0,97.0
"Valerdi,Ricardo",24.0,2120.0,189.0
"Handa,Robert J",2.0,22.0,9.0
"Lang,Julie E",1.0,18.0,7.0
"Little,Jesse C",22.0,2127.0,130.0
"Cais,Bryden R",8.0,149.0,31.0
"Pagel,Mark D",38.0,4659.0,175.0
"Romanowski,Marek",5.0,53.0,14.0
"Brown,Paul W",7.0,236.0,9.0
"Matsunaga,Terry O",11.0,444.0,37.0
"Melde,Kathleen L",16.0,674.0,87.0
"Zhang,Hao",2.0,9.0,4.0
"Merkle,Carolyn J",,,
"Wung,Shu Fen",20.0,1107.0,69.0
"Chipman,Russell A",37.0,6119.0,380.0
"Corral,Erica L",14.0,1606.0,64.0
"Milster,Thomas D",20.0,1425.0,185.0
"Madenci,Erdogan",46.0,10293.0,399.0
"Jones,Ronald J",2.0,8.0,5.0
"Wissinger,John W",4.0,175.0,7.0
"LeRoy,Brian J",30.0,8458.0,119.0
"Hu,Yi",5.0,137.0,7.0
"Tiep,Pham Huu",0.0,0.0,1.0
"Sharifi,Romyar T",11.0,866.0,43.0
"Tome,Margaret E",25.0,1963.0,71.0
"Loy,Douglas A",1.0,3.0,5.0
"Smith,Catharine L",0.0,0.0,2.0
"Landowski,Terry H",27.0,4752.0,72.0
"Selmin,Ornella",29.0,3374.0,88.0
"Myrdal,Paul B",28.0,2293.0,101.0
"Xin,Hao",2.0,13.0,5.0
"Zenhausern,Frederic",0.0,0.0,1.0
"Kudenov,Michael W",24.0,2737.0,132.0
"Rasmussen,Craig",13.0,625.0,42.0
"Teske,Jennifer A",24.0,1806.0,61.0
"Gehm,Michael E",1.0,1.0,6.0
"Son,Young-Jun",3.0,30.0,11.0
"Gallery,Rachel Elizabeth",,,
"Koch,Thomas L",6.0,105.0,13.0
"Martinez,Jessica A",5.0,40.0,11.0
"Weterings,Eric",1.0,340.0,2.0
"Raghunand,Natarajan",32.0,5532.0,102.0
"Breidenbach III,Warren C",,,
"Weinstein,Ronald S",7.0,217.0,16.0
"Burgoon,Judee K",77.0,25118.0,391.0
"Gunatilaka,Leslie",24.0,1947.0,49.0
"Pater,Susan E",,,
"Gniady,Christopher",,,
"Fink,Wolfgang",2.0,11.0,23.0
"Strausfeld,Nicholas J",67.0,14410.0,245.0
"Sethuraman,Sunder",24.0,1719.0,142.0
"Deymier,Pierre A",37.0,7568.0,326.0
"Nichols,Shaun B",42.0,8070.0,176.0
