Notice of Opportunity Description,Opportunity,Notice of Opportunity Code,Proposal ID,Proposal Title,Program Announcement Title,Development Proposal ID,Development Proposal ID.1,Proposal Status Description,Lead Investigator Name,Lead Investigator Organization Name,Sponsor Name,Sponsor - Hierarchy Name ^,Award Id ^,Total Cost,Total Obligated Amount (Award) ^,Proposal Submitted Date,h_index,h_index_recent (Since 2019),i10_index,i10_index_recent (Since 2019),total_citations,recent_citations (Since 2019),Verified Google Affiliation Match,Origin: Google (G) or Semantic (S)
-,#N62473-20-2-0017,-,942022,DSCESU: Cooperative Agreement: Traditional Cultural Landscape Study in the Vicinity of the US/Mexico Border on the Barry M. Goldwater Range West for Marine Corps Air Station Yuma Arizona,Traditional Cultural Landscape Study in the Vicinity of the US/Mexico Border on the Barry M. Goldwater Range West for Marine Corps Air Station Yuma Arizona,42115,42115,Funded,"Pleshet,Noah O.",Bur of Applied Rsch in Anthro,United States Navy,DOD,017305-00001,86958.0,175654.3,9/14/20 0:00,,,,,,,False,S
-,#N62473-20-2-0017,-,1005241,DSCESU: Cooperative Agreement: Traditional Cultural Landscape Study in the Vicinity of the US/Mexico Border on the Barry M. Goldwater Range West for Marine Corps Air Station Yuma Arizona,Traditional Cultural Landscape Study in the Vicinity of the US/Mexico Border on the Barry M. Goldwater Range West for Marine Corps Air Station Yuma Arizona,46268,46268,Rejected,"Hopkins,Maren P.",Bur of Applied Rsch in Anthro,United States Navy,DOD,,156832.0,0.0,8/18/21 0:00,3.0,,,,48.0,,False,S
-,#N62473-20-2-0017,-,1008454,DSCESU: Cooperative Agreement: Traditional Cultural Landscape Study in the Vicinity of the US/Mexico Border on the Barry M. Goldwater Range West for Marine Corps Air Station Yuma Arizona View Text,Traditional Cultural Landscape Study in the Vicinity of the US/Mexico Border on the Barry M. Goldwater Range West for Marine Corps Air Station Yuma Arizona View Text,46517,46517,Funded,"Hopkins,Maren P.",Bur of Applied Rsch in Anthro,United States Navy,DOD,017305-00001,88695.6,175654.3,9/7/21 0:00,3.0,,,,48.0,,False,S
-,-,-,76,Diet Related Wild-Type Mouse Model of Colon Cancer Closely Mimicking Human Colon Cancer,-,4067,4067,Rejected,"Bernstein,Harris",Cellular & Molecular Medicine,United States Department of Defense,DOD,,562756.0,0.0,10/14/10 0:00,53.0,22.0,120.0,45.0,10544.0,2187.0,True,G
-,-,-,116,Use of mass-flux measurement and vapor-phase tomography to quantify vadose-zone source strength and distri bution,-,141,141,Funded,"Brusseau,Mark L.",Environmental Science-Res,United States Army Corps of Engineers,DOD,003611-00001,673681.0,551567.0,8/4/10 0:00,7.0,7.0,7.0,6.0,363.0,297.0,False,G
-,-,-,123,The role of IDH mutations in modulating the response of pediatric low-grade gliomas to ionizing radiation,-,148,148,Withdrawn,"Burd,Randy M.",Nutritional Sci Wellness - RES,United States Department of Defense,DOD,,285390.0,0.0,10/19/10 0:00,45.0,30.0,146.0,108.0,6343.0,3360.0,False,G
-,-,-,163,Mechanisms of Brain Metastasis in Melanoma,-,188,188,Rejected,"Cranmer,Lee Duncan",Cancer Center Division,United States Department of Defense,DOD,,766237.0,0.0,10/11/10 0:00,,,,,,,False,S
-,-,-,184,Touchless imaging profilometer for fingerprints (TIPOFF),-,209,209,Withdrawn,"Dereniak,Eustace L.",James C Wyant Coll Optical Sci,United States Army Research Office,DOD,,620911.0,0.0,8/30/10 0:00,32.0,,,,4918.0,,False,S
-,-,-,197,Hybrid communication systems laboratory,-,223,223,Rejected,"Djordjevic,Ivan B.",Electrical and Computer Engr,Office of Naval Research,DOD,,329469.0,0.0,9/14/10 0:00,59.0,36.0,272.0,130.0,13923.0,5298.0,True,G
-,-,-,198,Hybrid communication systems laboratory,-,224,224,Withdrawn,"Djordjevic,Ivan B.",Electrical and Computer Engr,Air Force Office of Scientific Research,DOD,,329469.0,0.0,9/14/10 0:00,59.0,36.0,272.0,130.0,13923.0,5298.0,True,G
-,-,-,199,Hybrid Communication Systems Laboratory,-,225,225,Withdrawn,"Djordjevic,Ivan B.",Electrical and Computer Engr,United States Army Research Office,DOD,,329469.0,0.0,9/14/10 0:00,59.0,36.0,272.0,130.0,13923.0,5298.0,True,G
-,-,-,227,A Counterflow Virtual Impactor Inlet System for Use on Aircraft Platforms to Study Cloud Droplet Residual Particles,-,253,253,Funded,"Sorooshian,Armin",Chemical & Environmental Engr,Office of Naval Research,DOD,003965-00001,100000.0,100000.0,9/10/10 0:00,66.0,51.0,202.0,197.0,14136.0,8890.0,True,G
-,-,-,258,Equipment for efficient code development and pre- and post-processing of data for large-scale flow simulations,-,287,287,Rejected,"Fasel,Hermann F.",Aerospace & Mechanical Engr,Office of Naval Research,DOD,,119524.0,0.0,9/14/10 0:00,43.0,31.0,181.0,90.0,8890.0,3674.0,True,G
-,-,-,260,Hot-film anemometer for free flight experiments of active flow control,-,288,288,Withdrawn,"Fasel,Hermann F.",Aerospace & Mechanical Engr,Air Force Office of Scientific Research,DOD,,117000.0,0.0,9/14/10 0:00,43.0,31.0,181.0,90.0,8890.0,3674.0,True,G
