Lead Investigator Name,Lead Investigator Organization Name,h_index,total_citations,papers
"Pleshet,Noah O.",Bur of Applied Rsch in Anthro,,,
"Hopkins,Maren P.",Bur of Applied Rsch in Anthro,3.0,48.0,21.0
"Bernstein,Harris",Cellular & Molecular Medicine,42.0,6594.0,98.0
"Brusseau,Mark L.",Environmental Science-Res,73.0,17590.0,497.0
"Burd,Randy M.",Nutritional Sci Wellness - RES,24.0,2288.0,53.0
"Cranmer,Lee Duncan",Cancer Center Division,,,
"Dereniak,Eustace L.",James C Wyant Coll Optical Sci,32.0,4918.0,304.0
"Djordjevic,Ivan B.",Electrical and Computer Engr,3.0,16.0,13.0
"Sorooshian,Armin",Chemical & Environmental Engr,4.0,49.0,17.0
"Fasel,Hermann F.",Aerospace & Mechanical Engr,2.0,13.0,10.0
"Galbraith,David W.",BIO5 Institute,60.0,16553.0,198.0
"Shaked,Moshe",Mathematics,41.0,7783.0,205.0
"Gervasio,Dominic F.",Chemical & Environmental Engr,14.0,1204.0,56.0
"Thakur,Dinesh S.",Mathematics,17.0,1344.0,95.0
"Goodman,Nathan A.",Electrical and Computer Engr,20.0,2375.0,104.0
"Futscher,Bernard W.",Cancer Center Division,50.0,7303.0,139.0
"Khitrova,Galina",James C Wyant Coll Optical Sci,36.0,7926.0,346.0
"Kobourov,Stephen G.",Computer Science,45.0,8974.0,319.0
"Tyo,J. Scott",James C Wyant Coll Optical Sci,16.0,698.0,30.0
"Lysecky,Roman L.",Electrical and Computer Engr,21.0,2338.0,150.0
"Maier,Robert S.",Mathematics,2.0,5.0,6.0
"Momayez,Moe",Mining & Geological Engr,1.0,1.0,3.0
"Kundu,Tribikram",Civil Arch Engr and Mechanics,1.0,4.0,2.0
"Polynkin,Pavel G.",James C Wyant Coll Optical Sci,27.0,3448.0,143.0
"Peyghambarian,Nasser N.",James C Wyant Coll Optical Sci,17.0,2041.0,44.0
"Ramasubramanian,Srinivasa",Electrical and Computer Engr,,,
"Ridgdill,Penny C.",Mathematics,,,
"Ritchie,Elizabeth A.",Institute Atmospheric Physics,25.0,3475.0,97.0
"Restifo,Linda L.",Neuroscience,27.0,3236.0,46.0
"Sandhu,Arvinder",Physics,24.0,1660.0,140.0
"Sanfelice,Ricardo G.",Aerospace & Mechanical Engr,35.0,6424.0,350.0
"Zarnescu,Daniela C.",Molecular and Cellular Biology,31.0,3921.0,67.0
"Villarreal,Miguel L.",Sch of Nat Resource&Enviro-Res,18.0,840.0,63.0
"Zhang,Lianyang",Chemical & Environmental Engr,51.0,9222.0,208.0
"Zohar,Yitshak",Aerospace & Mechanical Engr,32.0,2879.0,192.0
"Enikov,Eniko T.",Aerospace & Mechanical Engr,18.0,1151.0,116.0
"Pau,Stanley K. H.",James C Wyant Coll Optical Sci,21.0,1435.0,116.0
"Malusa,James R.",Sch of Nat Resource&Enviro-Res,10.0,228.0,30.0
"Krunz,Marwan M.",Electrical and Computer Engr,56.0,11830.0,392.0
"Missoum,Samy",Aerospace & Mechanical Engr,1.0,3.0,8.0
"Dettman,David L.",Geosciences,45.0,7329.0,174.0
"Kolesik,Miroslav",James C Wyant Coll Optical Sci,0.0,0.0,2.0
"Hariri,Salim A.",Electrical and Computer Engr,36.0,9014.0,367.0
"Chen,Hsinchun",Management Information Systems,94.0,39755.0,821.0
"Duan,Jennifer Guohong",Civil Arch Engr and Mechanics,,,
"Neifeld,Mark A.",Electrical and Computer Engr,42.0,5838.0,333.0
"Fehmi,Jeffrey S.",Sch of Nat Resource&Enviro-Res,21.0,1045.0,71.0
"Castro,Christopher L.",Institute Atmospheric Physics,28.0,2979.0,110.0
"Cohen,Paul R.",Sch of Info: Sci Tech & Arts,2.0,55.0,3.0
"Call,Robert E.",Cochise County Office,4.0,65.0,24.0
"Schroeder,Joyce A.",Molecular and Cellular Biology,27.0,3427.0,66.0
"Dontsova,Katerina M.",Biosphere 2,24.0,2333.0,87.0
"Sagarin,Raphael D.",AZ Inst for Resilience,18.0,3190.0,48.0
"Woodard,Gary C.",Hydrology and Water Resources,6.0,109.0,53.0
"Goode,Matthew J.",Sch of Nat Resource&Enviro-Res,16.0,777.0,37.0
"Hameroff,Stuart R.",Anesthesiology,6.0,517.0,9.0
"Powers,Linda S.",Electrical and Computer Engr,35.0,3896.0,81.0
"Peterson,Robert L.",Steward Observatory,1.0,1.0,4.0
"Moloney,Jerome V.",Mathematics,6.0,513.0,7.0
"Barton,Jennifer K.",Biomedical Engineering,41.0,6854.0,271.0
"Field,James A.",Chemical & Environmental Engr,5.0,172.0,19.0
"Hutchinson,Charles F.",Sch of Nat Resource&Enviro-Res,21.0,1342.0,65.0
"Beal,Carole R.",Sch of Info: Sci Tech & Arts,34.0,3105.0,128.0
"Debray,Saumya K.",Computer Science,42.0,7213.0,170.0
"Heimark,Ronald L.",Cancer Center Division,30.0,4480.0,90.0
"Carothers,Daniel N.",James C Wyant Coll Optical Sci,14.0,1032.0,38.0
"Meystre,Pierre",James C Wyant Coll Optical Sci,0.0,0.0,5.0
"Jessup,Leonard Michael",Eller Administration,21.0,4631.0,59.0
"Algotar,Amit M.",Cancer Center Division,11.0,450.0,44.0
"Romagnolo,Donato",Nutritional Sci Wellness - RES,31.0,2911.0,97.0
"Valerdi,Ricardo",Systems and Industrial Engr,24.0,2120.0,189.0
"Handa,Robert J.",COM Phx Basic Medical Sci,2.0,22.0,9.0
"Lang,Julie E.",Cancer Center Division,1.0,18.0,7.0
"Little,Jesse C.",James C Wyant Coll Optical Sci,22.0,2127.0,130.0
"Cais,Bryden R.",Aerospace & Mechanical Engr,8.0,149.0,31.0
"Pagel,Mark D.",Mathematics,38.0,4659.0,175.0
"Romanowski,Marek",Biomedical Engineering,5.0,53.0,14.0
"Brown,Paul W.",Biomedical Engineering,7.0,236.0,9.0
"Matsunaga,Terry O.",Environmental Science-Ext,11.0,444.0,37.0
"Melde,Kathleen L.",Medical Imaging,16.0,674.0,87.0
"Zhang,Hao",Electrical and Computer Engr,2.0,9.0,4.0
"Merkle,Carolyn J.",Mathematics,,,
"Wung,Shu Fen",College of Nursing,20.0,1107.0,69.0
"Chipman,Russell A.",College of Nursing,37.0,6119.0,380.0
"Corral,Erica L.",James C Wyant Coll Optical Sci,14.0,1606.0,64.0
"Milster,Thomas D.",Materials Science & Engr,20.0,1425.0,185.0
"Madenci,Erdogan",James C Wyant Coll Optical Sci,46.0,10293.0,399.0
"Jones,Ronald J.",Aerospace & Mechanical Engr,2.0,8.0,5.0
"Wissinger,John W.",James C Wyant Coll Optical Sci,4.0,175.0,7.0
"LeRoy,Brian J.",James C Wyant Coll Optical Sci,30.0,8458.0,119.0
"Hu,Yi",Physics,5.0,137.0,7.0
"Tiep,Pham Huu",Mathematics,0.0,0.0,1.0
